o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15
0.771294561,0.869652563,0.968010565,1.066368566,1.164726568,1.263084569,1.361442571,0,0,0,0,0,0,0,0
0.771294561,0.869652563,0.968010565,1.066368566,1.164726568,1.263084569,1.361442571,1.459800572,0,0,0,0,0,0,0
1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,-1.363074072,0,0,0,0,0,0,0
1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,-1.363074072,0,0,0,0,0,0,0
1.558158574,1.656516575,1.754874577,1.853232578,-1.638476476,-1.540118475,-1.441760473,-1.343402472,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,-1.353238272,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,-1.353238272,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,-1.353238272,0,0,0,0,0,0,0
1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,0,0,0,0,0,0,0,0
1.745038777,1.843396778,-1.648312276,0,0,0,0,0,0,0,0,0,0,0,0
1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,-1.363074072,0,0,0,0,0,0,0
1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,-1.363074072,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,-1.353238272,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,-1.353238272,0,0,0,0,0,0,0
1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,-1.353238272,0,0,0,0,0,0,0
1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,-1.363074072,0,0,0,0,0,0,0
1.174562368,1.272920369,1.371278371,1.469636372,1.567994374,0,0,0,0,0,0,0,0,0,0
1.174562368,1.272920369,1.371278371,1.469636372,1.567994374,0,0,0,0,0,0,0,0,0,0
1.174562368,1.272920369,1.371278371,1.469636372,1.567994374,0,0,0,0,0,0,0,0,0,0
1.184398168,1.282756169,1.381114171,1.479472173,1.577830174,0,0,0,0,0,0,0,0,0,0
1.184398168,1.282756169,1.381114171,1.479472173,1.577830174,0,0,0,0,0,0,0,0,0,0
1.184398168,1.282756169,1.381114171,1.479472173,1.577830174,0,0,0,0,0,0,0,0,0,0
-0.399165657,-0.300807655,-0.202449654,0,0,0,0,0,0,0,0,0,0,0,0
-0.399165657,-0.300807655,-0.202449654,0,0,0,0,0,0,0,0,0,0,0,0
-0.399165657,-0.300807655,-0.202449654,-0.104091652,-0.005733651,0.092624351,0.190982352,0.289340354,0.387698355,0,0,0,0,0,0
-0.389329857,-0.290971855,-0.192613854,-0.094255852,0.004102149,0.102460151,0.200818153,0.299176154,0,0,0,0,0,0,0
-0.389329857,-0.290971855,-0.192613854,-0.094255852,0.004102149,0.102460151,0.200818153,0.299176154,0.397534156,0,0,0,0,0,0
-0.389329857,-0.290971855,-0.192613854,-0.094255852,0.004102149,0.102460151,0.200818153,0.299176154,0.397534156,0,0,0,0,0,0
-0.389329857,-0.290971855,-0.192613854,-0.094255852,0.004102149,0.102460151,0.200818153,0.299176154,0.397534156,0,0,0,0,0,0
-0.389329857,-0.290971855,-0.192613854,-0.094255852,0.004102149,0.102460151,0.200818153,0.299176154,0.397534156,0,0,0,0,0,0
-0.379494057,-0.281136055,-0.182778053,-0.084420052,0.01393795,0.112295951,0.210653953,0.309011954,0.407369956,0,0,0,0,0,0
-0.379494057,-0.281136055,-0.182778053,-0.084420052,0.01393795,0.112295951,0.210653953,0.309011954,0.407369956,0,0,0,0,0,0
-0.379494057,-0.281136055,-0.182778053,0,0,0,0,0,0,0,0,0,0,0,0
