Station,Setup_date,Retrieval_date,Latitude,Longitude,Patch ID,Raw_Parea_d80_km,PatchSize,C_Function,Duration,Human_Ratio,AgAnimal_Ratio,D_2_PA,HMI,VNL_2,P_Area_log,D_2_Core,Canopy,Elev,NPP,Precip
Cortes_Omoa_2020_10,1/15/2020,6/29/2020,15.7659,-87.9641,107,48,2_Medium,2,2.759181338,3.086888988,-0.194890231,2.293326253,0.904459501,1.687489501,-0.624975895,0.861209475,-1.555154226,-1.086677817,-0.690597586,0.72739276
Cortes_Omoa_2020_12,1/16/2020,3/26/2020,15.7255,-88.0569,129,15,1_Small,1,-0.118609188,-0.46206578,-0.194890231,1.156421652,-0.096167016,0.336729602,-1.147041456,-0.217637355,-0.045627638,-0.548591052,-0.160250503,-0.011583809
Cortes_Omoa_2020_13,1/16/2020,4/18/2020,15.7574,-88.0209,99,2,1_Small,1,0.708755589,-0.489587116,-0.194890231,0.638075819,0.880259431,0.595199964,-2.051405246,0.311643132,-0.91613904,-0.87628101,0.350852987,0.428879626
Cortes_Omoa_2020_14,1/16/2020,4/27/2020,15.7756,-87.9669,87,1,1_Small,2,1.032507023,0.113981813,-0.081507029,2.158612644,1.933266306,5.908188906,-2.362515609,0.901637382,-1.990093898,-1.119979469,-1.516884202,0.894393115
Cortes_Omoa_2020_16,1/17/2020,3/4/2020,15.6644,-88.1365,353,563,3_Large,1,-0.945973964,-0.241869638,-0.194890231,-0.363661862,-0.008079561,0.664098637,0.480097018,-0.502083145,-1.065120451,-1.139316019,0.007873561,-0.032458854
Cortes_Omoa_2020_17,1/17/2020,4/16/2020,15.7431,-87.9907,106,2,1_Small,1,0.600838444,-0.313689885,-0.194890231,1.757227728,0.917448758,2.029589326,-2.051405246,0.462413556,-1.165452184,-0.568840418,-0.406536815,0.088616404
Cortes_Omoa_2020_2,1/13/2020,4/8/2020,15.7788,-87.8542,91,48,2_Medium,1,0.456948918,-0.392191085,-0.194890231,0.256441747,4.384079086,6.839536704,-0.624975895,2.05374255,-2.854034371,-1.183697043,-4.156186516,0.067741359
Cortes_Omoa_2020_4,1/13/2020,5/5/2020,15.8089,-87.8633,91,48,2_Medium,1,1.42820322,-0.228669184,1.13560646,0.08752486,1.275750542,5.335681053,-0.624975895,2.107223969,-0.938252459,-0.970402915,0.305159353,0.631367556
Cortes_Omoa_2020_5,1/13/2020,8/2/2020,15.7484,-87.9229,122,48,2_Medium,2,2.759181338,-0.496221617,-0.194890231,2.840550638,0.612787238,1.030283525,-0.624975895,1.196239566,-0.739231531,-0.618589946,0.37144284,-0.061683916
Cortes_Omoa_2020_6,1/18/2020,3/29/2020,15.7914,-87.9093,91,48,2_Medium,1,-0.082636806,0.08493972,0.130886857,1.723598494,1.368060561,4.22213134,-0.624975895,1.549904609,-0.668973985,-0.924945882,0.217098138,1.015468372
